ticker,manager_count,managers,company,price,avg_portfolio_pct,max_portfolio_pct,portfolio_pct_std,total_shares,market_cap,cap_category,sector,industry,total_position_value,conviction_score,consistency_score,market_cap_display
1979.T,1,Tweedy Browne Co. - Tweedy Browne Value Fund,,0.0,100.0,100.0,0.0,0,0,Unknown,Industrials,Unknown,0.0,253.0,100.0,N/A
ELF,1,Polen Capital Management,,0.0,98.15,98.15,0.0,0,0,Unknown,Consumer Goods,Unknown,0.0,248.38,98.15,N/A
MCDIF,1,Steven Romick - FPA Crescent Fund,,0.0,98.08,98.08,0.0,0,0,Unknown,Industrial Goods,Unknown,0.0,248.2,98.08,N/A
GRPN,1,Lee Ainslie - Maverick Capital,,0.0,96.91,96.91,0.0,0,0,Unknown,Technology,Unknown,0.0,245.27,96.91,N/A
CFRUY,1,Steven Romick - FPA Crescent Fund,,0.0,91.68,91.68,0.0,0,0,Unknown,Consumer Discretionary,Unknown,0.0,232.2,91.68,N/A
TPC,1,Bill Miller - Miller Value Partners,,0.0,86.8,86.8,0.0,0,0,Unknown,Industrial Goods,Unknown,0.0,220.0,86.8,N/A
ORIC,2,"Meridian Contrarian Fund, Viking Global Investors",,5.58,84.95,84.95,0.0,0,0,Unknown,Health Care,Unknown,0.0,218.38,84.95,N/A
COIN,1,Samantha McLemore - Patient Capital Management,,0.0,81.07,81.07,0.0,0,0,Unknown,Technology,Unknown,0.0,205.68,81.07,N/A
SAFRY,2,"Steven Romick - FPA Crescent Fund, Tweedy Browne Co. - Tweedy Browne Value Fund",,263.15,79.68,79.69,0.01,0,0,Unknown,Industrial Goods,Unknown,0.0,205.2,78.89,N/A
PLAY,1,Samantha McLemore - Patient Capital Management,,0.0,80.88,80.88,0.0,0,0,Unknown,Consumer Discretionary,Unknown,0.0,205.2,80.88,N/A
TTMI,1,First Eagle Investment Management,,0.0,80.2,80.2,0.0,0,0,Unknown,Technology,Unknown,0.0,203.5,80.2,N/A
AMSC,1,Meridian Contrarian Fund,,0.0,79.05,79.05,0.0,0,0,Unknown,Technology,Unknown,0.0,200.62,79.05,N/A
RBLX,1,ValueAct Capital,,0.0,79.04,79.04,0.0,0,0,Unknown,Communication Services,Unknown,0.0,200.6,79.04,N/A
EYE,2,"First Eagle Investment Management, Lee Ainslie - Maverick Capital",,12.78,77.54,77.54,0.0,0,0,Unknown,Consumer Cyclical,Unknown,0.0,199.85,77.54,N/A
BNTGY,1,Tweedy Browne Co. - Tweedy Browne Value Fund,,0.0,77.64,77.64,0.0,0,0,Unknown,Materials,Unknown,0.0,197.1,77.64,N/A
NFE,1,Samantha McLemore - Patient Capital Management,,0.0,74.97,74.97,0.0,0,0,Unknown,Energy,Unknown,0.0,190.42,74.97,N/A
ODD,1,Terry Smith - Fundsmith,,0.0,74.2,74.2,0.0,0,0,Unknown,Technology,Unknown,0.0,188.5,74.2,N/A
UOVEY,1,Tweedy Browne Co. - Tweedy Browne Value Fund,,0.0,72.41,72.41,0.0,0,0,Unknown,Financials,Unknown,0.0,184.02,72.41,N/A
ZDGE,1,Kahn Brothers Group,,0.0,71.37,71.37,0.0,0,0,Unknown,Technology,Unknown,0.0,181.42,71.37,N/A
CCJ,1,Meridian Contrarian Fund,,0.0,71.06,71.06,0.0,0,0,Unknown,Materials,Unknown,0.0,180.65,71.06,N/A
MSFT,35,"AKO Capital, AltaRock Partners, Bill & Melinda Gates Foundation Trust, Chase Coleman - Tiger Global Management, Chris Hohn - TCI Fund Management, Christopher Davis - Davis Advisors, Daniel Loeb - Third Point, David Katz - Matrix Asset Advisors, David Rolfe - Wedgewood Partners, David Tepper - Appaloosa Management",,378.58,25.62,44.74,10.0,0,0,Unknown,Information Technology,Unknown,0.0,178.61,2.33,N/A
GHM,2,"First Eagle Investment Management, Robert Olstein - Olstein Capital Management",,28.84,68.33,68.39,0.08,0,0,Unknown,Industrial Goods,Unknown,0.0,176.86,63.27,N/A
GEV,2,"Chase Coleman - Tiger Global Management, Christopher Bloomstran - Semper Augustus",,305.27,65.43,65.44,0.01,0,0,Unknown,Utilities,Unknown,0.0,169.58,64.78,N/A
MTCH,1,Harry Burn - Sound Shore,,0.0,64.86,64.86,0.0,0,0,Unknown,Services,Unknown,0.0,165.15,64.86,N/A
ECG,1,FPA Queens Road Small Cap Value Fund,,0.0,63.76,63.76,0.0,0,0,Unknown,Industrials,Unknown,0.0,162.4,63.76,N/A
VRT,1,Leon Cooperman,,0.0,63.61,63.61,0.0,0,0,Unknown,Industrials,Unknown,0.0,162.02,63.61,N/A
HTZ,1,Bill Ackman - Pershing Square Capital Management,,0.0,62.94,62.94,0.0,0,0,Unknown,Services,Unknown,0.0,160.35,62.94,N/A
HTZWW,2,"Daniel Loeb - Third Point, Francis Chou - Chou Associates",,2.26,59.75,69.5,13.79,0,0,Unknown,Unknown,Unknown,0.0,160.25,4.04,N/A
WING,2,"Polen Capital Management, Stephen Mandel - Lone Pine Capital",,225.58,60.03,60.04,0.01,0,0,Unknown,Services,Unknown,0.0,156.08,59.44,N/A
RNMBF,1,Tweedy Browne Co. - Tweedy Browne Value Fund,,0.0,60.79,60.79,0.0,0,0,Unknown,Industrials,Unknown,0.0,154.98,60.79,N/A
RCKT,2,"Lee Ainslie - Maverick Capital, Torray Funds",,6.67,59.52,59.52,0.0,0,0,Unknown,Health Care,Unknown,0.0,154.8,59.52,N/A
BATL,1,Howard Marks - Oaktree Capital Management,,0.0,60.0,60.0,0.0,0,0,Unknown,Energy,Unknown,0.0,153.0,60.0,N/A
NRG,1,David Tepper - Appaloosa Management,,0.0,59.28,59.28,0.0,0,0,Unknown,Utilities,Unknown,0.0,151.2,59.28,N/A
