ticker,total_activities,managers_holding,total_buy_impact,total_sell_impact,net_activity_score,avg_portfolio_impact,days_tracked,recent_activity_count,recent_net_activity,performance_category,period_start,period_end,top_3_managers
DLTR,33,9,0.0,0.0,0.0,1.8863636363636367,0,33,0.0,Neutral,2025-07-07,2025-07-07,Semper Augustus; Greenlight Capital; Akre Capital Management
SUI,2,2,0.0,0.0,0.0,0.955,0,2,0.0,Neutral,2025-07-07,2025-07-07,Meridian Contrarian Fund; Third Avenue Management
CERT,1,1,0.0,0.0,0.0,0.81,0,1,0.0,Neutral,2025-07-07,2025-07-07,Meridian Contrarian Fund
OUST,1,1,0.0,0.0,0.0,0.61,0,1,0.0,Neutral,2025-07-07,2025-07-07,Meridian Contrarian Fund
CWCO,1,1,0.0,0.0,0.0,0.58,0,1,0.0,Neutral,2025-07-07,2025-07-07,Meridian Contrarian Fund
DNN,1,1,0.0,0.0,0.0,0.56,0,1,0.0,Neutral,2025-07-07,2025-07-07,Meridian Contrarian Fund
FUN,1,1,0.0,0.0,0.0,0.56,0,1,0.0,Neutral,2025-07-07,2025-07-07,Meridian Contrarian Fund
FCNCA,27,5,0.0,0.0,0.0,1.2892592592592593,0,27,0.0,Neutral,2025-07-07,2025-07-07,Egerton Capital; Oakmark Select Fund; Greenlight Capital
LPLA,22,8,0.0,0.0,0.0,1.174090909090909,0,22,0.0,Neutral,2025-07-07,2025-07-07,Lone Pine Capital; Akre Capital Management; Third Point
KNX,4,2,0.0,0.0,0.0,1.1775,0,4,0.0,Neutral,2025-07-07,2025-07-07,Sequoia Fund; Meridian Contrarian Fund
PL,1,1,0.0,0.0,0.0,0.6,0,1,0.0,Neutral,2025-07-07,2025-07-07,Meridian Contrarian Fund
ATZ.TO,4,1,0.0,0.0,0.0,0.745,0,4,0.0,Neutral,2025-07-07,2025-07-07,Meridian Contrarian Fund
CARS,5,2,0.0,0.0,0.0,1.8080000000000003,0,5,0.0,Neutral,2025-07-07,2025-07-07,Meridian Contrarian Fund; Abrams Capital Management
APA,43,5,0.0,0.0,0.0,1.3704651162790698,0,43,0.0,Neutral,2025-07-07,2025-07-07,Oakmark Select Fund; Ariel Focus Fund; Weitz Large Cap Equity Fund
ACVA,3,1,0.0,0.0,0.0,0.8166666666666665,0,3,0.0,Neutral,2025-07-07,2025-07-07,Meridian Contrarian Fund
LEVI,6,2,0.0,0.0,0.0,0.7300000000000001,0,6,0.0,Neutral,2025-07-07,2025-07-07,FPA Queens Road Small Cap Value Fund; Meridian Contrarian Fund
ALEX,8,3,0.0,0.0,0.0,2.09875,0,8,0.0,Neutral,2025-07-07,2025-07-07,Scion Asset Management; Pershing Square Capital Management; Meridian Contrarian Fund
FOXF,2,1,0.0,0.0,0.0,0.62,0,2,0.0,Neutral,2025-07-07,2025-07-07,Meridian Contrarian Fund
RDUS,2,1,0.0,0.0,0.0,0.5549999999999999,0,2,0.0,Neutral,2025-07-07,2025-07-07,Meridian Contrarian Fund
OEC,1,1,0.0,0.0,0.0,0.79,0,1,0.0,Neutral,2025-07-07,2025-07-07,Meridian Contrarian Fund
CEVA,1,1,0.0,0.0,0.0,1.02,0,1,0.0,Neutral,2025-07-07,2025-07-07,Meridian Contrarian Fund
CNM,2,1,0.0,0.0,0.0,0.76,0,2,0.0,Neutral,2025-07-07,2025-07-07,Meridian Contrarian Fund
NVST,9,3,0.0,0.0,0.0,0.9177777777777778,0,9,0.0,Neutral,2025-07-07,2025-07-07,Meridian Contrarian Fund; Tweedy Browne Value Fund; Ariel Appreciation Fund
CRGY,4,2,0.0,0.0,0.0,2.5275,0,4,0.0,Neutral,2025-07-07,2025-07-07,Scion Asset Management; Meridian Contrarian Fund
ZVIA,1,1,0.0,0.0,0.0,0.8,0,1,0.0,Neutral,2025-07-07,2025-07-07,Meridian Contrarian Fund
HNST,2,1,0.0,0.0,0.0,0.895,0,2,0.0,Neutral,2025-07-07,2025-07-07,Meridian Contrarian Fund
EVRG,2,1,0.0,0.0,0.0,1.345,0,2,0.0,Neutral,2025-07-07,2025-07-07,Meridian Contrarian Fund
BWXT,7,3,0.0,0.0,0.0,1.3257142857142856,0,7,0.0,Neutral,2025-07-07,2025-07-07,Meridian Contrarian Fund; FPA Queens Road Small Cap Value Fund; Atlantic Investment Management
BEPC,7,1,0.0,0.0,0.0,1.3242857142857143,0,7,0.0,Neutral,2025-07-07,2025-07-07,Meridian Contrarian Fund
