,manager,ticker,company,portfolio_pct,price,shares,position_value,cap_category,sector,gain_loss_pct
1934,Michael Burry - Scion Asset Management,EL,,100.0,0.0,0,0.0,Unknown,Consumer Staples,0
390,Christopher Davis - Davis Advisors,INTC,,99.58,0.0,0,0.0,Unknown,Information Technology,0
2077,Polen Capital Management,SPY,,84.82,0.0,0,0.0,Unknown,,0
136,Bruce Berkowitz - Fairholme Capital,JOE,,78.07,0.0,0,0.0,Unknown,Financials,0
411,Clifford Sosin - CAS Investment Partners,CVNA,,77.19,0.0,0,0.0,Unknown,Services,0
1042,Francis Chou - Chou Associates,HTZWW,,71.0,0.0,0,0.0,Unknown,Super Investor Stats:,0
2078,Polen Capital Management,TTEK,,67.42,0.0,0,0.0,Unknown,Industrials,0
751,Duan Yongping - H&H International Investment,AAPL,,63.33,0.0,0,0.0,Unknown,Technology,0
2063,Polen Capital Management,IOO,,63.12,0.0,0,0.0,Unknown,Super Investor Stats:,0
2727,Thomas Russo - Gardner Russo & Quinn,OUT,,60.49,0.0,0,0.0,Unknown,Services,0
2080,Polen Capital Management,WING,,59.65,0.0,0,0.0,Unknown,Services,0
2079,Polen Capital Management,VT,,59.1,0.0,0,0.0,Unknown,Super Investor Stats:,0
2061,Polen Capital Management,FIX,,55.98,0.0,0,0.0,Unknown,Industrials,0
158,Carl Icahn - Icahn Capital Management,IEP,,54.55,0.0,0,0.0,Unknown,Financials,0
2070,Polen Capital Management,NKE,,54.37,0.0,0,0.0,Unknown,Consumer Discretionary,0
1949,Norbert Lou - Punch Card Management,BRK.A,,53.44,0.0,0,0.0,Unknown,Financials,0
2051,Polen Capital Management,ADSK,,52.55,0.0,0,0.0,Unknown,Information Technology,0
2065,Polen Capital Management,KARO,,48.02,0.0,0,0.0,Unknown,Technology,0
2058,Polen Capital Management,CLBT,,47.09,0.0,0,0.0,Unknown,Technology,0
456,David Abrams - Abrams Capital Management,LOAR,,46.92,0.0,0,0.0,Unknown,Industrials,0
1167,Greg Alexander - Conifer Management,EQH,,39.48,0.0,0,0.0,Unknown,Financials,0
1011,Francis Chou - Chou Associates,BRK.A,,37.76,0.0,0,0.0,Unknown,Financials,0
1935,Mohnish Pabrai - Pabrai Investments,HCC,,36.57,0.0,0,0.0,Unknown,Financials,0
2074,Polen Capital Management,PYPL,,33.57,0.0,0,0.0,Unknown,Financials,0
2728,Thomas Russo - Gardner Russo & Quinn,PHJMF,,33.33,0.0,0,0.0,Unknown,Consumer Goods,0
1168,Greg Alexander - Conifer Management,GPI,,32.91,0.0,0,0.0,Unknown,Consumer Discretionary,0
2939,Valley Forge Capital Management,FICO,,32.29,0.0,0,0.0,Unknown,Information Technology,0
1939,Nelson Peltz - Trian Fund Management,JHG,,30.84,0.0,0,0.0,Unknown,Financials,0
2072,Polen Capital Management,OLLI,,28.6,0.0,0,0.0,Unknown,Services,0
2081,Prem Watsa - Fairfax Financial Holdings,ORLA,,28.57,0.0,0,0.0,Unknown,Materials,0
2076,Polen Capital Management,SKIL,,28.22,0.0,0,0.0,Unknown,Information Technology,0
469,David Einhorn - Greenlight Capital,GRBK,,27.96,0.0,0,0.0,Unknown,Financials,0
35,AltaRock Partners,TDG,,27.26,0.0,0,0.0,Unknown,Industrial Goods,0
1950,Norbert Lou - Punch Card Management,SGOV,,27.0,0.0,0,0.0,Unknown,Super Investor Stats:,0
1769,Li Lu - Himalaya Capital Management,BAC,,26.12,0.0,0,0.0,Unknown,Financials,0
1166,Greenhaven Associates,RHI,,25.9,0.0,0,0.0,Unknown,Industrials,0
