ticker,manager_count,managers,company,price,avg_portfolio_pct,max_portfolio_pct,total_shares,market_cap,cap_category,sector,avg_gain_loss_pct,total_position_value,market_cap_display
CCCS,4,"Chuck Akre - Akre Capital Management, Polen Capital Management, Torray Funds, Triple Frond Partners",,9.03,0.0,0,0,0,Unknown,Technology,0.0,0.0,N/A
GTX,4,"Howard Marks - Oaktree Capital Management, Kahn Brothers Group, Lee Ainslie - Maverick Capital, Prem Watsa - Fairfax Financial Holdings",,8.37,0.0,0,0,0,Unknown,Consumer Goods,0.0,0.0,N/A
VTRS,3,"Bill Miller - Miller Value Partners, Christopher Davis - Davis Advisors, David Einhorn - Greenlight Capital",,8.71,0.0,0,0,0,Unknown,Health Care,0.0,0.0,N/A
ALIT,2,"David Einhorn - Greenlight Capital, Lee Ainslie - Maverick Capital",,5.93,0.0,0,0,0,Unknown,Technology,0.0,0.0,N/A
BB,2,"Meridian Contrarian Fund, Prem Watsa - Fairfax Financial Holdings",,3.76,0.0,0,0,0,Unknown,Technology,0.0,0.0,N/A
BHC,2,"Carl Icahn - Icahn Capital Management, Howard Marks - Oaktree Capital Management",,6.47,0.0,0,0,0,Unknown,Health Care,0.0,0.0,N/A
BKD,2,"First Eagle Investment Management, Lee Ainslie - Maverick Capital",,6.26,0.0,0,0,0,Unknown,Health Care,0.0,0.0,N/A
CLVT,2,"Lee Ainslie - Maverick Capital, Seth Klarman - Baupost Group",,3.93,0.0,0,0,0,Unknown,Unknown,0.0,0.0,N/A
DBRG,2,"Chuck Akre - Akre Capital Management, Meridian Contrarian Fund",,8.82,0.0,0,0,0,Unknown,Financials,0.0,0.0,N/A
EQC-OLD,2,"FPA Queens Road Small Cap Value Fund, Third Avenue Management",,1.61,0.0,0,0,0,Unknown,Financials,0.0,0.0,N/A
GCI,2,"Bill Miller - Miller Value Partners, Leon Cooperman",,2.89,0.0,0,0,0,Unknown,Consumer Discretionary,0.0,0.0,N/A
GRAB,2,"Chase Coleman - Tiger Global Management, Howard Marks - Oaktree Capital Management",,4.53,0.0,0,0,0,Unknown,Financials,0.0,0.0,N/A
GT,2,"First Eagle Investment Management, Lee Ainslie - Maverick Capital",,9.24,0.0,0,0,0,Unknown,Consumer Discretionary,0.0,0.0,N/A
HTZWW,2,"Daniel Loeb - Third Point, Francis Chou - Chou Associates",,2.26,0.0,0,0,0,Unknown,Unknown,0.0,0.0,N/A
LXU,2,"First Eagle Investment Management, Third Avenue Management",,6.59,0.0,0,0,0,Unknown,Industrial Goods,0.0,0.0,N/A
LYG,2,"First Eagle Investment Management, Lee Ainslie - Maverick Capital",,3.82,0.0,0,0,0,Unknown,Financials,0.0,0.0,N/A
MX,2,"Howard Marks - Oaktree Capital Management, Prem Watsa - Fairfax Financial Holdings",,3.43,0.0,0,0,0,Unknown,Technology,0.0,0.0,N/A
NUVB,2,"David Abrams - Abrams Capital Management, David Einhorn - Greenlight Capital",,1.76,0.0,0,0,0,Unknown,Health Care,0.0,0.0,N/A
ORIC,2,"Meridian Contrarian Fund, Viking Global Investors",,5.58,0.0,0,0,0,Unknown,Health Care,0.0,0.0,N/A
ORLA,2,"First Eagle Investment Management, Prem Watsa - Fairfax Financial Holdings",,9.28,0.0,0,0,0,Unknown,Materials,0.0,0.0,N/A
PTON,2,"David Einhorn - Greenlight Capital, Samantha McLemore - Patient Capital Management",,6.32,0.0,0,0,0,Unknown,Consumer Cyclical,0.0,0.0,N/A
RCKT,2,"Lee Ainslie - Maverick Capital, Torray Funds",,6.67,0.0,0,0,0,Unknown,Health Care,0.0,0.0,N/A
STKL,2,"Howard Marks - Oaktree Capital Management, Leon Cooperman",,4.86,0.0,0,0,0,Unknown,Consumer Goods,0.0,0.0,N/A
UAA,2,"Lee Ainslie - Maverick Capital, Prem Watsa - Fairfax Financial Holdings",,6.24,0.0,0,0,0,Unknown,Consumer Goods,0.0,0.0,N/A
VALE,2,"Christopher Davis - Davis Advisors, Howard Marks - Oaktree Capital Management",,9.98,0.0,0,0,0,Unknown,Materials,0.0,0.0,N/A
VYX,2,"Glenn Welling - Engaged Capital, Steven Romick - FPA Crescent Fund",,9.75,0.0,0,0,0,Unknown,Technology,0.0,0.0,N/A
CTLP,1,David Abrams - Abrams Capital Management,,7.87,0.0,0,0,0,Unknown,Technology,0.0,0.0,N/A
DCGO,1,David Katz - Matrix Asset Advisors,,2.64,0.0,0,0,0,Unknown,Health Care,0.0,0.0,N/A
DENN,1,Robert Olstein - Olstein Capital Management,,3.67,0.0,0,0,0,Unknown,Services,0.0,0.0,N/A
FOSL,1,Bill Miller - Miller Value Partners,,1.15,0.0,0,0,0,Unknown,Consumer Discretionary,0.0,0.0,N/A
JELD,1,Bill Miller - Miller Value Partners,,5.97,0.0,0,0,0,Unknown,Industrials,0.0,0.0,N/A
KOS,1,Samantha McLemore - Patient Capital Management,,2.28,0.0,0,0,0,Unknown,Materials,0.0,0.0,N/A
SHYF,1,Robert Olstein - Olstein Capital Management,,8.09,0.0,0,0,0,Unknown,Industrials,0.0,0.0,N/A
SMHI,1,Christopher Bloomstran - Semper Augustus,,5.06,0.0,0,0,0,Unknown,Energy,0.0,0.0,N/A
SVV,1,Tom Bancroft - Makaira Partners,,6.9,0.0,0,0,0,Unknown,Consumer Cyclical,0.0,0.0,N/A
TAC,1,Howard Marks - Oaktree Capital Management,,9.33,0.0,0,0,0,Unknown,Utilities,0.0,0.0,N/A
