Investor,Update,Ticker,Action,Purchased Price,Current Price
Tweedy Browne Co. - Tweedy Browne Value Fund , 18 Oct 2024 ,BRK.A ,Reduce 13.73%,691181.82,688354.00
Tweedy Browne Co. - Tweedy Browne Value Fund , 18 Oct 2024 ,SAFRY , ,235.60,53.47
Tweedy Browne Co. - Tweedy Browne Value Fund , 18 Oct 2024 ,TTE , ,65.29,64.70
Tweedy Browne Co. - Tweedy Browne Value Fund , 18 Oct 2024 ,GOOGL ,Reduce 8.82%,165.85,166.72
Tweedy Browne Co. - Tweedy Browne Value Fund , 18 Oct 2024 ,RHHVF , ,320.78,323.57
Tweedy Browne Co. - Tweedy Browne Value Fund , 18 Oct 2024 ,WFC , ,56.49,65.61
Tweedy Browne Co. - Tweedy Browne Value Fund , 18 Oct 2024 ,NSRGY , ,100.67,104.60
Tweedy Browne Co. - Tweedy Browne Value Fund , 18 Oct 2024 ,FMC , ,65.94,61.54
Tweedy Browne Co. - Tweedy Browne Value Fund , 18 Oct 2024 ,JNJ , ,162.06,161.60
Tweedy Browne Co. - Tweedy Browne Value Fund , 18 Oct 2024 ,TLPFF , ,103.79,108.73
Tweedy Browne Co. - Tweedy Browne Value Fund , 18 Oct 2024 ,HKHHF , ,75.67,74.00
Tweedy Browne Co. - Tweedy Browne Value Fund , 18 Oct 2024 ,UOVEY , ,25.09,48.62
Tweedy Browne Co. - Tweedy Browne Value Fund , 18 Oct 2024 ,FDX , ,273.69,275.45
Tweedy Browne Co. - Tweedy Browne Value Fund , 18 Oct 2024 ,RNMBF , ,542.86,560.50
Tweedy Browne Co. - Tweedy Browne Value Fund , 18 Oct 2024 ,UHAL , ,72.00,72.33
Tweedy Browne Co. - Tweedy Browne Value Fund , 18 Oct 2024 ,DEO , ,140.33,133.38
Tweedy Browne Co. - Tweedy Browne Value Fund , 18 Oct 2024 ,DHLGY , ,44.68,43.33
Tweedy Browne Co. - Tweedy Browne Value Fund , 18 Oct 2024 ,BYNN.F , ,27.37,31.57
