Investor,Update,Ticker,Action,Purchased Price,Current Price
AKO Capital , 01 Aug 2023 ,BKNG ,Reduce 39.02%,2700.33,2887.55
AKO Capital , 01 Aug 2023 ,ACN ,Reduce 3.00%,308.58,317.83
AKO Capital , 01 Aug 2023 ,ALC ,Reduce 1.29%,82.46,82.11
AKO Capital , 01 Aug 2023 ,LIN ,Add 31.79%,381.08,384.49
AKO Capital , 01 Aug 2023 ,ICE ,Reduce 0.20%,113.08,115.06
AKO Capital , 01 Aug 2023 ,V ,Reduce 5.04%,237.48,237.92
AKO Capital , 01 Aug 2023 ,MSFT ,Reduce 18.16%,340.54,327.89
AKO Capital , 01 Aug 2023 ,RACE ,Reduce 1.47%,326.47,313.45
AKO Capital , 01 Aug 2023 ,FICO ,Reduce 4.32%,809.21,824.76
AKO Capital , 01 Aug 2023 ,ANSS ,Add 10.81%,330.27,325.43
AKO Capital , 01 Aug 2023 ,ALLE ,Reduce 4.29%,120.02,114.58
AKO Capital , 01 Aug 2023 ,MCO ,Add 82.62%,347.72,343.49
AKO Capital , 01 Aug 2023 ,OTIS ,Reduce 4.30%,89.01,89.44
AKO Capital , 01 Aug 2023 ,CPRT ,Add 54.98%,91.21,88.46
AKO Capital , 01 Aug 2023 ,INTU ,Add 17.00%,458.19,498.35
AKO Capital , 01 Aug 2023 ,EFX ,Reduce 4.25%,235.30,201.98
AKO Capital , 01 Aug 2023 ,TMO ,Reduce 43.74%,521.75,554.05
AKO Capital , 01 Aug 2023 ,PG ,Reduce 4.29%,151.74,156.79
AKO Capital , 01 Aug 2023 ,MMC ,Buy ,188.08,191.00
AKO Capital , 01 Aug 2023 ,URI ,Add 32.06%,445.37,468.57
AKO Capital , 01 Aug 2023 ,EL ,Reduce 3.12%,196.38,172.56
AKO Capital , 01 Aug 2023 ,MAR ,Reduce 28.34%,183.69,203.47
AKO Capital , 01 Aug 2023 ,DG ,Reduce 55.99%,169.78,167.86
AKO Capital , 01 Aug 2023 ,ZTS ,Reduce 4.31%,172.21,182.21
Robert Olstein - Olstein Capital Management , 27 Jul 2023 ,WBD ,Reduce 11.58%,12.54,12.51
Robert Olstein - Olstein Capital Management , 27 Jul 2023 ,ST ,Add 17.66%,44.99,41.74
Robert Olstein - Olstein Capital Management , 27 Jul 2023 ,GNRC ,Add 34.90%,149.14,115.93
Robert Olstein - Olstein Capital Management , 27 Jul 2023 ,DIS ,Add 10.26%,89.28,86.34
Robert Olstein - Olstein Capital Management , 27 Jul 2023 ,ABM ,Add 18.22%,42.65,45.57
Robert Olstein - Olstein Capital Management , 27 Jul 2023 ,CSCO ,Reduce 4.59%,51.74,52.63
Robert Olstein - Olstein Capital Management , 27 Jul 2023 ,IVZ ,Add 12.01%,16.81,16.37
Robert Olstein - Olstein Capital Management , 27 Jul 2023 ,KLIC ,Reduce 5.52%,59.45,58.12
Robert Olstein - Olstein Capital Management , 27 Jul 2023 ,JNJ , ,165.52,169.93
Robert Olstein - Olstein Capital Management , 27 Jul 2023 ,IFF ,Add 36.67%,79.59,82.49
Robert Olstein - Olstein Capital Management , 27 Jul 2023 ,CMI ,Add 23.81%,245.15,262.24
Robert Olstein - Olstein Capital Management , 27 Jul 2023 ,SSNC , ,60.60,56.67
Robert Olstein - Olstein Capital Management , 27 Jul 2023 ,CVS ,Add 16.95%,69.13,76.57
Robert Olstein - Olstein Capital Management , 27 Jul 2023 ,GM ,Add 9.50%,38.56,37.44
Robert Olstein - Olstein Capital Management , 27 Jul 2023 ,DGX ,Add 20.00%,140.56,134.81
Robert Olstein - Olstein Capital Management , 27 Jul 2023 ,DAL ,Reduce 24.96%,47.54,44.75
Robert Olstein - Olstein Capital Management , 27 Jul 2023 ,DENN ,Reduce 5.92%,12.32,10.48
Robert Olstein - Olstein Capital Management , 27 Jul 2023 ,CARR ,Add 10.43%,49.71,58.97
Robert Olstein - Olstein Capital Management , 27 Jul 2023 ,REYN , ,28.25,27.78
Robert Olstein - Olstein Capital Management , 27 Jul 2023 ,EBAY ,Reduce 6.16%,44.69,43.80
Robert Olstein - Olstein Capital Management , 27 Jul 2023 ,CFG ,Add 5.82%,26.08,31.08
