date,portfolio_date,manager,stock,ticker,portfolio_percent,shares,recent_activity,reported_price,current_price,value
2025-06-23,2025-06-23,AKO Capital,Alcon Inc.,ALC,0,7115571,,8.73,94.52,
2025-06-23,2025-06-23,AKO Capital,Visa Inc.,V,0,1775973,,8.08,350.46,
2025-06-23,2025-06-23,AKO Capital,Flutter Entertainment Plc,FLUT,0,2590673,Buy,7.42,220.7,
2025-06-23,2025-06-23,AKO Capital,Marsh & McLennan,MMC,0,2121730,,6.72,244.03,
2025-06-23,2025-06-23,AKO Capital,GE Aerospace,GE,0,2466267,,6.4,200.15,
2025-06-23,2025-06-23,AKO Capital,Microsoft Corp.,MSFT,0,1250718,,6.09,375.39,
2025-06-23,2025-06-23,AKO Capital,Intercontinental Exchange Inc.,ICE,0,2282427,,5.11,172.5,
2025-06-23,2025-06-23,AKO Capital,Accenture,ACN,0,1238638,,5.01,312.04,
2025-06-23,2025-06-23,AKO Capital,Moody's Corp.,MCO,0,826734,,5.0,465.69,
2025-06-23,2025-06-23,AKO Capital,Intuit Inc.,INTU,0,555811,,4.43,613.99,
2025-06-23,2025-06-23,AKO Capital,Booking Holdings Inc.,BKNG,0,72052,,4.31,4606.91,
2025-06-23,2025-06-23,AKO Capital,Waters Corp.,WAT,0,887215,,4.24,368.57,
2025-06-23,2025-06-23,AKO Capital,Copart Inc.,CPRT,0,5081145,,3.73,56.59,
2025-06-23,2025-06-23,AKO Capital,Fair Isaac Corp.,FICO,0,150660,,3.6,1844.16,
2025-06-23,2025-06-23,AKO Capital,Amazon.com Inc.,AMZN,0,1437908,,3.55,190.26,
2025-06-23,2025-06-23,AKO Capital,Zoetis Inc.,ZTS,0,1523960,,3.26,164.65,
2025-06-23,2025-06-23,AKO Capital,Analog Devices,ADI,0,1243847,,3.25,201.67,
2025-06-23,2025-06-23,AKO Capital,Ferrari NV,RACE,0,585118,,3.23,424.99,
2025-06-23,2025-06-23,AKO Capital,Equifax Inc.,EFX,0,762905,,2.41,243.56,
2025-06-23,2025-06-23,AKO Capital,Thermo Fisher Scientific,TMO,0,332845,,2.15,497.6,
2025-06-23,2025-06-23,AKO Capital,Salesforce.com,CRM,0,359908,Buy,1.25,268.36,
2025-06-23,2025-06-23,AKO Capital,Illumina Inc.,ILMN,0,889714,,0.92,79.34,
2025-06-23,2025-06-23,AKO Capital,Linde plc,LIN,0,84991,,0.51,465.64,
2025-06-23,2025-06-23,AKO Capital,Cadence Design Systems,CDNS,0,137409,,0.45,254.33,
2025-06-23,2025-06-23,AKO Capital,Booz Allen Hamilton Hldg Corp.,BAH,0,93472,,0.13,104.58,
2025-06-23,2025-06-23,AKO Capital,Canadian Natl Railway Co.,CNI,0,19073,,0.02,97.47,
2025-06-23,2025-06-23,Alex Roepers - Atlantic Investment Management,Aptiv PLC,APTV,0,673971,,22.4,59.5,
2025-06-23,2025-06-23,Alex Roepers - Atlantic Investment Management,Weatherford International plc,WFRD,0,572809,,17.14,53.55,
2025-06-23,2025-06-23,Alex Roepers - Atlantic Investment Management,Chart Industries Inc.,GTLS,0,205399,,16.57,144.36,
2025-06-23,2025-06-23,Alex Roepers - Atlantic Investment Management,Oshkosh Corp.,OSK,0,235900,,12.4,94.08,
2025-06-23,2025-06-23,Alex Roepers - Atlantic Investment Management,Eastman Chemical,EMN,0,251583,Buy,12.38,88.11,
2025-06-23,2025-06-23,Alex Roepers - Atlantic Investment Management,Darling Ingredients Inc.,DAR,0,508550,,8.88,31.24,
2025-06-23,2025-06-23,Alex Roepers - Atlantic Investment Management,Ashland Global Holdings Inc.,ASH,0,125000,Buy,4.14,59.29,
2025-06-23,2025-06-23,Alex Roepers - Atlantic Investment Management,Terex Corp.,TEX,0,155000,,3.27,37.78,
2025-06-23,2025-06-23,Alex Roepers - Atlantic Investment Management,WESCO International Inc.,WCC,0,32500,,2.82,155.29,
2025-06-23,2025-06-23,AltaRock Partners,TransDigm Group Inc.,TDG,0,979950,,27.26,1383.29,
2025-06-23,2025-06-23,AltaRock Partners,Amazon.com Inc.,AMZN,0,5202415,,19.9,190.26,
2025-06-23,2025-06-23,AltaRock Partners,Microsoft Corp.,MSFT,0,2578649,,19.46,375.39,
2025-06-23,2025-06-23,AltaRock Partners,Alphabet Inc.,GOOGL,0,3454367,,10.74,154.64,
2025-06-23,2025-06-23,AltaRock Partners,Moody's Corp.,MCO,0,950905,,8.9,465.69,
2025-06-23,2025-06-23,AltaRock Partners,Mastercard Inc.,MA,0,586254,,6.46,548.12,
2025-06-23,2025-06-23,AltaRock Partners,Visa Inc.,V,0,850412,,5.99,350.46,
2025-06-23,2025-06-23,AltaRock Partners,Hilton Worldwide Holdings,HLT,0,273957,,1.25,227.55,
2025-06-23,2025-06-23,AltaRock Partners,Fair Isaac Corp.,FICO,0,0,,0.02,1844.78,
2025-06-23,2025-06-23,Bill & Melinda Gates Foundation Trust,Microsoft Corp.,MSFT,0,28457247,,25.55,375.39,
2025-06-23,2025-06-23,Bill & Melinda Gates Foundation Trust,Berkshire Hathaway CL B,BRK.B,0,17172435,,21.88,532.58,
2025-06-23,2025-06-23,Bill & Melinda Gates Foundation Trust,Waste Management Inc.,WM,0,32234344,,17.85,231.51,
2025-06-23,2025-06-23,Bill & Melinda Gates Foundation Trust,Canadian Natl Railway Co.,CNI,0,54826786,,12.78,97.46,
2025-06-23,2025-06-23,Bill & Melinda Gates Foundation Trust,Caterpillar Inc.,CAT,0,7353614,,5.8,329.8,
2025-06-23,2025-06-23,Bill & Melinda Gates Foundation Trust,Deere & Co.,DE,0,3557378,,3.99,469.35,
2025-06-23,2025-06-23,Bill & Melinda Gates Foundation Trust,Ecolab Inc.,ECL,0,5218044,,3.16,253.52,
2025-06-23,2025-06-23,Bill & Melinda Gates Foundation Trust,Walmart Inc.,WMT,0,9090477,,1.91,87.79,
2025-06-23,2025-06-23,Bill & Melinda Gates Foundation Trust,FedEx Corp.,FDX,0,2534362,,1.48,243.78,
2025-06-23,2025-06-23,Bill & Melinda Gates Foundation Trust,Coca-Cola FEMSA S A CV,KOF,0,6214719,,1.36,91.29,
2025-06-23,2025-06-23,Bill & Melinda Gates Foundation Trust,Waste Connections,WCN,0,2149175,,1.0,195.19,
2025-06-23,2025-06-23,Bill & Melinda Gates Foundation Trust,Coupang Inc.,CPNG,0,9248045,,0.49,21.93,
2025-06-23,2025-06-23,Bill & Melinda Gates Foundation Trust,Crown Castle International Corp.,CCI,0,1420072,,0.35,104.23,
2025-06-23,2025-06-23,Bill & Melinda Gates Foundation Trust,SCHRODINGER Inc.,SDGR,0,6981664,,0.33,19.74,
2025-06-23,2025-06-23,Bill & Melinda Gates Foundation Trust,Madison Square Garden Sports Corp.,MSGS,0,592406,,0.28,194.72,
2025-06-23,2025-06-23,Bill & Melinda Gates Foundation Trust,Anheuser-Busch InBev,BUD,0,1703000,,0.25,61.56,
2025-06-23,2025-06-23,Bill & Melinda Gates Foundation Trust,McDonald's Corp.,MCD,0,334900,,0.25,312.37,
2025-06-23,2025-06-23,Bill & Melinda Gates Foundation Trust,West Pharmaceutical Services,WST,0,444500,Buy,0.24,223.88,
2025-06-23,2025-06-23,Bill & Melinda Gates Foundation Trust,PACCAR Inc.,PCAR,0,1000000,,0.23,97.37,
2025-06-23,2025-06-23,Bill & Melinda Gates Foundation Trust,United Parcel Service,UPS,0,755089,,0.2,109.99,
2025-06-23,2025-06-23,Bill & Melinda Gates Foundation Trust,Kraft Heinz Co.,KHC,0,2622600,,0.19,30.43,
2025-06-23,2025-06-23,Bill & Melinda Gates Foundation Trust,Danaher Corp.,DHR,0,373000,,0.18,205.0,
2025-06-23,2025-06-23,Bill & Melinda Gates Foundation Trust,Hormel Foods Corp.,HRL,0,2195290,,0.16,30.94,
2025-06-23,2025-06-23,Bill & Melinda Gates Foundation Trust,On Holding AG,ONON,0,500000,,0.05,43.92,
2025-06-23,2025-06-23,Bill & Melinda Gates Foundation Trust,Veralto Corp.,VLTO,0,124333,,0.03,97.45,
2025-06-23,2025-06-23,Bill Ackman - Pershing Square Capital Management,Uber Technologies Inc.,UBER,0,30301161,Buy,18.5,72.86,
2025-06-23,2025-06-23,Bill Ackman - Pershing Square Capital Management,Brookfield Corp.,BN,0,41004657,,18.01,52.41,
2025-06-23,2025-06-23,Bill Ackman - Pershing Square Capital Management,Restaurant Brands International,QSR,0,23000914,,12.85,66.64,
2025-06-23,2025-06-23,Bill Ackman - Pershing Square Capital Management,Howard Hughes Holdings Inc.,HHH,0,18852064,,11.71,74.08,
2025-06-23,2025-06-23,Bill Ackman - Pershing Square Capital Management,Chipotle Mexican Grill Inc.,CMG,0,21541177,,9.07,50.21,
2025-06-23,2025-06-23,Bill Ackman - Pershing Square Capital Management,Canadian Pacific Kansas City,CP,0,14799796,,8.71,70.21,
2025-06-23,2025-06-23,Bill Ackman - Pershing Square Capital Management,Alphabet Inc. CL C,GOOG,0,6324031,,8.28,156.23,
2025-06-23,2025-06-23,Bill Ackman - Pershing Square Capital Management,Alphabet Inc.,GOOGL,0,4437980,,5.75,154.64,
2025-06-23,2025-06-23,Bill Ackman - Pershing Square Capital Management,Hilton Worldwide Holdings,HLT,0,3000770,,5.72,227.55,
2025-06-23,2025-06-23,Bill Ackman - Pershing Square Capital Management,Seaport Entertainment Group,SEG,0,5023780,,0.9,21.47,
2025-06-23,2025-06-23,Bill Ackman - Pershing Square Capital Management,Hertz Global Hldgs Inc.,HTZ,0,15000000,,0.5,3.94,
2025-06-23,2025-06-23,Bill Miller - Miller Value Partners,Lincoln National,LNC,0,519255,,8.5,35.91,
2025-06-23,2025-06-23,Bill Miller - Miller Value Partners,Nabors Industries Ltd.,NBR,0,388745,,7.39,41.71,
2025-06-23,2025-06-23,Bill Miller - Miller Value Partners,Bread Financial Holdings Inc.,BFH,0,309825,,7.07,50.08,
2025-06-23,2025-06-23,Bill Miller - Miller Value Partners,Gray Television Inc.,GTN,0,3577790,,7.04,4.32,
2025-06-23,2025-06-23,Bill Miller - Miller Value Partners,Quad/Graphics Inc.,QUAD,0,2574225,,6.39,5.45,
2025-06-23,2025-06-23,Bill Miller - Miller Value Partners,Jackson Financial Inc.,JXN,0,120950,,4.62,83.78,
2025-06-23,2025-06-23,Bill Miller - Miller Value Partners,UGI Corp.,UGI,0,292000,,4.4,33.07,
2025-06-23,2025-06-23,Bill Miller - Miller Value Partners,Verizon Communications,VZ,0,198000,Buy,4.09,45.36,
2025-06-23,2025-06-23,Bill Miller - Miller Value Partners,Gannett Co.,GCI,0,2712815,,3.57,2.89,
2025-06-23,2025-06-23,Bill Miller - Miller Value Partners,CTO Realty Growth Inc.,CTO,0,383900,,3.38,19.31,
2025-06-23,2025-06-23,Bill Miller - Miller Value Partners,OneMain Holdings,OMF,0,149000,,3.32,48.88,
2025-06-23,2025-06-23,Bill Miller - Miller Value Partners,Bristol-Myers Squibb,BMY,0,108000,,3.0,60.99,
