date,portfolio_date,manager,stock,ticker,portfolio_percent,shares,recent_activity,reported_price,current_price,value,market_cap,sector,industry,52_week_high,52_week_low,pe_ratio,dividend_yield
2025-06-24,2025-03-31,AKO Capital,Alcon Inc.,ALC,8.73,0,,,,,0,Health Care,Unknown,0,0,0,0
2025-06-24,2025-03-31,AKO Capital,Visa Inc.,V,8.08,0,,,,,0,Services,Unknown,0,0,0,0
2025-06-24,2025-03-31,AKO Capital,Flutter Entertainment Plc,FLUT,7.42,0,,,,,0,Consumer Cyclical,Unknown,0,0,0,0
2025-06-24,2025-03-31,AKO Capital,Marsh & McLennan,MMC,6.72,0,,,,,0,Financials,Unknown,0,0,0,0
2025-06-24,2025-03-31,AKO Capital,GE Aerospace,GE,6.4,0,,,,,0,Industrials,Unknown,0,0,0,0
2025-06-24,2025-03-31,AKO Capital,Microsoft Corp.,MSFT,6.09,0,,,,,0,Information Technology,Unknown,0,0,0,0
2025-06-24,2025-03-31,AKO Capital,Intercontinental Exchange Inc.,ICE,5.11,0,,,,,0,Financials,Unknown,0,0,0,0
2025-06-24,2025-03-31,AKO Capital,Accenture,ACN,5.01,0,,,,,0,Services,Unknown,0,0,0,0
2025-06-24,2025-03-31,AKO Capital,Moody's Corp.,MCO,5.0,0,,,,,0,Financials,Unknown,0,0,0,0
2025-06-24,2025-03-31,AKO Capital,Intuit Inc.,INTU,4.43,0,,,,,0,Information Technology,Unknown,0,0,0,0
2025-06-24,2025-03-31,AKO Capital,Booking Holdings Inc.,BKNG,4.31,0,,,,,0,Technology,Unknown,0,0,0,0
2025-06-24,2025-03-31,AKO Capital,Waters Corp.,WAT,4.24,0,,,,,0,Health Care,Unknown,0,0,0,0
2025-06-24,2025-03-31,AKO Capital,Copart Inc.,CPRT,3.73,0,,,,,0,Industrials,Unknown,0,0,0,0
2025-06-24,2025-03-31,AKO Capital,Fair Isaac Corp.,FICO,3.6,0,,,,,0,Information Technology,Unknown,0,0,0,0
2025-06-24,2025-03-31,AKO Capital,Amazon.com Inc.,AMZN,3.55,0,,,,,0,Consumer Discretionary,Unknown,0,0,0,0
2025-06-24,2025-03-31,AKO Capital,Zoetis Inc.,ZTS,3.26,0,,,,,0,Health Care,Unknown,0,0,0,0
2025-06-24,2025-03-31,AKO Capital,Analog Devices,ADI,3.25,0,,,,,0,Information Technology,Unknown,0,0,0,0
2025-06-24,2025-03-31,AKO Capital,Ferrari NV,RACE,3.23,0,,,,,0,Consumer Goods,Unknown,0,0,0,0
2025-06-24,2025-03-31,AKO Capital,Equifax Inc.,EFX,2.41,0,,,,,0,Industrials,Unknown,0,0,0,0
2025-06-24,2025-03-31,AKO Capital,Thermo Fisher Scientific,TMO,2.15,0,,,,,0,Health Care,Unknown,0,0,0,0
2025-06-24,2025-03-31,AKO Capital,Salesforce.com,CRM,1.25,0,,,,,0,Technology,Unknown,0,0,0,0
2025-06-24,2025-03-31,AKO Capital,Illumina Inc.,ILMN,0.92,0,,,,,0,Health Care,Unknown,0,0,0,0
2025-06-24,2025-03-31,AKO Capital,Linde plc,LIN,0.51,0,,,,,0,Materials,Unknown,0,0,0,0
2025-06-24,2025-03-31,AKO Capital,Cadence Design Systems,CDNS,0.45,0,,,,,0,Information Technology,Unknown,0,0,0,0
2025-06-24,2025-03-31,AKO Capital,Booz Allen Hamilton Hldg Corp.,BAH,0.13,0,,,,,0,Industrials,Unknown,0,0,0,0
2025-06-24,2025-03-31,AKO Capital,Canadian Natl Railway Co.,CNI,0.02,0,,,,,0,Services,Unknown,0,0,0,0
2025-06-24,2025-03-31,Alex Roepers - Atlantic Investment Management,Aptiv PLC,APTV,22.4,0,,,,,0,Consumer Goods,Unknown,0,0,0,0
2025-06-24,2025-03-31,Alex Roepers - Atlantic Investment Management,Weatherford International plc,WFRD,17.14,0,,,,,0,Energy,Unknown,0,0,0,0
2025-06-24,2025-03-31,Alex Roepers - Atlantic Investment Management,Chart Industries Inc.,GTLS,16.57,0,,,,,0,Industrial Goods,Unknown,0,0,0,0
2025-06-24,2025-03-31,Alex Roepers - Atlantic Investment Management,Oshkosh Corp.,OSK,12.4,0,,,,,0,Industrials,Unknown,0,0,0,0
2025-06-24,2025-03-31,Alex Roepers - Atlantic Investment Management,Eastman Chemical,EMN,12.38,0,,,,,0,Materials,Unknown,0,0,0,0
2025-06-24,2025-03-31,Alex Roepers - Atlantic Investment Management,Darling Ingredients Inc.,DAR,8.88,0,,,,,0,Industrial Goods,Unknown,0,0,0,0
2025-06-24,2025-03-31,Alex Roepers - Atlantic Investment Management,Ashland Global Holdings Inc.,ASH,4.14,0,,,,,0,Materials,Unknown,0,0,0,0
2025-06-24,2025-03-31,Alex Roepers - Atlantic Investment Management,Terex Corp.,TEX,3.27,0,,,,,0,Industrials,Unknown,0,0,0,0
2025-06-24,2025-03-31,Alex Roepers - Atlantic Investment Management,WESCO International Inc.,WCC,2.82,0,,,,,0,Services,Unknown,0,0,0,0
2025-06-24,2025-03-31,AltaRock Partners,TransDigm Group Inc.,TDG,27.26,0,,,,,0,Industrial Goods,Unknown,0,0,0,0
2025-06-24,2025-03-31,AltaRock Partners,Amazon.com Inc.,AMZN,19.9,0,,,,,0,Consumer Discretionary,Unknown,0,0,0,0
2025-06-24,2025-03-31,AltaRock Partners,Microsoft Corp.,MSFT,19.46,0,,,,,0,Information Technology,Unknown,0,0,0,0
2025-06-24,2025-03-31,AltaRock Partners,Alphabet Inc.,GOOGL,10.74,0,,,,,0,Technology,Unknown,0,0,0,0
2025-06-24,2025-03-31,AltaRock Partners,Moody's Corp.,MCO,8.9,0,,,,,0,Financials,Unknown,0,0,0,0
2025-06-24,2025-03-31,AltaRock Partners,Mastercard Inc.,MA,6.46,0,,,,,0,Services,Unknown,0,0,0,0
2025-06-24,2025-03-31,AltaRock Partners,Visa Inc.,V,5.99,0,,,,,0,Services,Unknown,0,0,0,0
2025-06-24,2025-03-31,AltaRock Partners,Hilton Worldwide Holdings,HLT,1.25,0,,,,,0,Consumer Discretionary,Unknown,0,0,0,0
2025-06-24,2025-03-31,AltaRock Partners,Fair Isaac Corp.,FICO,0.02,0,,,,,0,Information Technology,Unknown,0,0,0,0
2025-06-24,2025-03-31,Bill & Melinda Gates Foundation Trust,Microsoft Corp.,MSFT,25.55,0,,,,,0,Information Technology,Unknown,0,0,0,0
2025-06-24,2025-03-31,Bill & Melinda Gates Foundation Trust,Berkshire Hathaway CL B,BRK.B,21.88,0,,,,,0,Financials,Unknown,0,0,0,0
2025-06-24,2025-03-31,Bill & Melinda Gates Foundation Trust,Waste Management Inc.,WM,17.85,0,,,,,0,Industrials,Unknown,0,0,0,0
